,
2,PT BANK RAKYAT INDONESIA (PERSERO) Tbk
8,PT BANK MANDIRI (PERSERO) Tbk
9,PT BANK NEGARA INDONESIA (PERSERO) Tbk
200,PT BANK TABUNGAN NEGARA (PERSERO) Tbk
11,PT BANK DANAMON INDONESIA Tbk
13,PT BANK PERMATA Tbk
14,PT BANK CENTRAL ASIA Tbk
16,PT BANK MAYBANK  INDONESIA Tbk
19,PT PAN INDONESIA BANK Tbk
22,PT BANK CIMB NIAGA Tbk
23,PT BANK UOB INDONESIA
28,PT BANK OCBC NISP Tbk
37,PT BANK ARTHA GRAHA INTERNASIONAL Tbk
76,PT BANK BUMI ARTA Tbk
87,PT BANK HSBC INDONESIA
95,PT BANK JTRUST INDONESIA Tbk
97,PT BANK MAYAPADA INTERNATIONAL Tbk
146,PT BANK OF INDIA INDONESIA Tbk
147,PT BANK MUAMALAT INDONESIA Tbk
151,PT BANK MESTIKA DHARMA Tbk
152,PT BANK SHINHAN INDONESIA
153,PT BANK SINARMAS Tbk
157,PT BANK MASPION INDONESIA Tbk
161,PT BANK GANESHA Tbk
164,PT BANK ICBC INDONESIA
167,PT BANK QNB INDONESIA Tbk
212,PT BANK WOORI SAUDARA INDONESIA 1906 Tbk
426,PT BANK MEGA Tbk
451,PT BANK SYARIAH INDONESIA Tbk *)
441,PT BANK KB BUKOPIN Tbk
484,PT BANK KEB HANA INDONESIA
485,PT BANK MNC INTERNASIONAL Tbk
494,PT BANK RAYA INDONESIA Tbk
498,PT BANK SBI INDONESIA
506,PT BANK MEGA SYARIAH
555,PT BANK INDEX SELINDO
553,PT BANK HIBANK INDONESIA ********)
36,PT BANK CHINA CONSTRUCTION BANK INDONESIA Tbk
46,PT BANK DBS INDONESIA
47,PT BANK RESONA PERDANIA
48,PT BANK MIZUHO INDONESIA
54,PT BANK CAPITAL INDONESIA Tbk
57,PT BANK BNP PARIBAS INDONESIA
61,PT BANK ANZ INDONESIA
945,PT BANK IBK INDONESIA Tbk
947,PT BANK ALADIN SYARIAH Tbk **)
949,PT BANK CTBC INDONESIA
213,PT BANK SMBC INDONESIA Tbk
405,PT BANK VICTORIA SYARIAH
425,PT BANK JABAR BANTEN SYARIAH
459,PT KROM BANK INDONESIA Tbk ******)
472,PT BANK JASA JAKARTA
490,PT BANK NEO COMMERCE Tbk
501,PT BANK DIGITAL BCA
503,PT BANK NATIONALNOBU Tbk
513,PT BANK INA PERDANA Tbk
517,PT BANK PANIN DUBAI SYARIAH Tbk
521,PT BANK KB BUKOPIN SYARIAH ****)
523,PT BANK SAHABAT SAMPOERNA
526,PT BANK OKE INDONESIA Tbk
531,PT BANK AMAR INDONESIA
535,PT BANK SEABANK INDONESIA
536,PT BANK BCA SYARIAH
542,PT BANK JAGO Tbk
547,PT BANK BTPN SYARIAH TBK
548,PT BANK MULTIARTA SENTOSA
562,PT SUPER BANK INDONESIA *******)
564,PT BANK MANDIRI TASPEN
566,PT BANK VICTORIA INTERNATIONAL Tbk
567,PT ALLO BANK INDONESIA Tbk  ***)
,PT BANK NANO SYARIAH *********)
110,PT BPD JAWA BARAT DAN BANTEN Tbk
111,PT BPD DKI
112,PT BPD DAERAH ISTIMEWA YOGYAKARTA
113,PT BPD JAWA TENGAH
114,PT BPD JAWA TIMUR Tbk
115,PT BPD JAMBI
116,PT BANK ACEH SYARIAH
117,PT BPD SUMATERA UTARA
118,PT BANK NAGARI
119,PT BPD RIAU KEPRI SYARIAH *****)
120,PT BPD SUMATERA SELATAN DAN BANGKA BELITUNG
121,PT BPD LAMPUNG
122,PT BPD KALIMANTAN SELATAN
123,PT BPD KALIMANTAN BARAT
124,PT BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA
125,PT BPD KALIMANTAN TENGAH
126,PT BPD SULAWESI SELATAN DAN SULAWESI BARAT
127,PT BPD SULAWESI UTARA DAN  GORONTALO
128,PT BANK NTB SYARIAH
129,PT BPD BALI
130,PT BPD NUSA TENGGARA TIMUR
131,PT BPD MALUKU DAN MALUKU UTARA
132,PT BPD PAPUA
133,PT BPD BENGKULU
134,PT BPD SULAWESI TENGAH
135,PT BPD SULAWESI TENGGARA
137,PT BPD BANTEN Tbk
31,"CITIBANK, N.A."
32,"JP MORGAN CHASE BANK, NA"
33,"BANK OF AMERICA, N.A"
42,"MUFG BANK, LTD"
50,STANDARD CHARTERED BANK
67,DEUTSCHE BANK AG
69,BANK OF CHINA (HONG KONG) LIMITED
